category,severity,key,token,current_bm,suggested_bm,english,note
connotation_review,high,7:126:2,تَنقِمُ,kamu membalas dendam,review: engkau membalas / menuntut balas,you take revenge,`membalas dendam` is emotionally stronger than the likely Quranic intent here and should be reviewed in context.
double_meaning_policy,high,17:46:5,أَن,mereka (tidak) dapat,bahawa,lest,Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
double_meaning_policy,medium,104:7:3,عَلَى,ke atas/sampai,atas,to,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,10:18:5,مَا,apa/sesuatu,apa,that (which),Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,10:53:7,إِنَّهُۥ,sesungguhnya ia (azab),sesungguhnya Dia,"Indeed, it","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
double_meaning_policy,medium,10:66:4,مَن,orang/apa,siapa,whoever,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,10:66:7,وَمَن,dan orang/apa,dan barang siapa,and whoever,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
double_meaning_policy,medium,10:67:11,فِي,di dalam/pada,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,10:72:10,عَلَى,atas/dari,atas,on,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,10:83:18,فِي,di(muka),dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,11:12:8,بِهِۦ,dengannya/kerananya,dengannya,by it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,11:15:10,فِيهَا,di dalamnya/di dunia,di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,11:16:12,فِيهَا,di dalamnya/di akhirat,di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,11:31:26,فِيٓ,di dalam/pada,dalam,(is) in,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,11:78:21,فِي,pada/terhadap,dalam,concerning,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,11:87:11,أَن,agar/bahawa,bahawa,that,Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
double_meaning_policy,medium,11:87:13,فِيٓ,pada/tentang,dalam,concerning,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,12:102:7,وَمَا,dan/padahal tidak,dan apa,And not,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,12:13:6,بِهِۦ,dengannya (Yusuf),dengannya,you should take him,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,12:23:3,هُوَ,dia (Yusuf),Dia,he (was),Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,12:25:12,مَا,apa(kah),apa,What,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,12:31:30,إِلَّا,melainkan/hanyalah,kecuali,but,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,12:34:2,لَهُۥ,kepadanya (Yusuf),baginya,to him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,12:41:18,فِيهِ,di dalamnya/padanya,di dalamnya,about which,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,12:50:13,مَا,apa/bagaimana,apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,12:76:18,فِي,di dalam/menurut,dalam,by,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,12:82:5,فِيهَا,di dalamnya/disana,di dalamnya,[in it],Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,13:11:1,لَهُۥ,baginya(seseorang),baginya,For him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,13:11:16,مَا,apa/keadaan,apa,(the condition),Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,13:14:19,وَمَا,dan/padahal tidaklah,dan apa,but not,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,13:15:3,مَن,siap/apa,siapa,whoever,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,13:26:10,وَمَا,dan/padahal,dan apa,and nothing,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,14:18:20,هُوَ,dia/adalah,Dia,[it],Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,14:34:10,لَا,tidak (dapat),tidak,not,Bezakan nafi dan larangan dari binaan fi'il; `tidak` kekal default.
double_meaning_policy,medium,14:39:6,عَلَى,atas/di,atas,in,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,14:42:12,فِيهِ,padanya/pada waktu itu,di dalamnya,in it,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,14:45:2,فِي,di/dalam,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,15:19:4,فِيهَا,di dalamnya/padanya,di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,15:20:5,وَمَن,dan orang (makhluk),dan barang siapa,and whom,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
double_meaning_policy,medium,15:50:3,هُوَ,ia/adalah,Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,15:94:2,بِمَا,dengan/segala apa,dengan apa,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,16:99:1,إِنَّهُۥ,sesungguhnya ia (syaitan),sesungguhnya Dia,Indeed he,"Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
double_meaning_policy,medium,17:10:3,لَا,(mereka) tidak,tidak,(do) not,Bezakan nafi dan larangan dari binaan fi'il; `tidak` kekal default.
double_meaning_policy,medium,17:110:8,مَّا,apa (nama),apa,By whatever (name),Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,17:16:9,فِيهَا,di dalamnya (negeri itu),di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,17:18:7,فِيهَا,padanya (di dunia),di dalamnya,in it,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,17:32:4,إِنَّهُۥ,sesungguhnya ia/zina,sesungguhnya Dia,"Indeed, it","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
double_meaning_policy,medium,17:36:6,بِهِۦ,dengannya/tentangnya,dengannya,of it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,17:44:6,وَمَن,dan apa/siapa,dan barang siapa,and whatever,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
double_meaning_policy,medium,17:52:8,إِلَّا,melainkan/hanya,kecuali,except,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,17:69:21,بِهِۦ,dengannya (hal ini),dengannya,therein,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,17:69:5,فِيهِ,di dalamnya (dalam laut),di dalamnya,into it,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,17:77:2,مَن,orang (Rasul),siapa,(for) whom,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,17:82:5,هُوَ,dia/sesuatu,Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,17:86:11,بِهِۦ,dengan/tentang itu,dengannya,concerning it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,18:104:4,فِي,dalam/demi,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,18:26:4,بِمَا,dengan apa/berapa lama,dengan apa,about what (period),Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,18:41:7,لَهُۥ,baginya(air),baginya,to find it,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,18:56:16,وَمَآ,dan apa(peringatan),dan apa,and what,Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
double_meaning_policy,medium,18:63:5,إِلَى,di/atas,kepada,to,Defaultkan kepada `kepada`.
double_meaning_policy,medium,18:91:4,بِمَا,dengan apa/segala apa,dengan apa,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,19:21:5,هُوَ,ia/hal itu,Dia,'It,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,19:29:6,مَن,orang (anak),siapa,(to one) who,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,19:62:3,فِيهَا,di dalamnya (syurga),di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,19:65:11,لَهُۥ,bagi-Nya/dengan-Nya,baginya,for Him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,20:115:10,لَهُۥ,baginya/padanya,baginya,in him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,20:18:2,هِيَ,ia/ini,ia,It,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,20:20:3,هِيَ,ia/tongkat,ia,It,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,20:40:27,فِيٓ,dalam/di antara,dalam,with,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,20:53:8,فِيهَا,di dalamnya (di bumi),di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,20:99:6,مَا,apa/ummat,apa,(of) what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,21:18:8,هُوَ,dia (yang batil),Dia,it (is),Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,21:23:1,لَا,tidak/tidaklah,tidak,Not,Bezakan nafi dan larangan dari binaan fi'il; `tidak` kekal default.
double_meaning_policy,medium,21:41:10,مَّا,apa (azab),apa,what,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,21:61:3,بِهِۦ,dengannya/dia,dengannya,him,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,21:71:3,إِلَى,ke/ke sebuah,kepada,to,Defaultkan kepada `kepada`.
double_meaning_policy,medium,21:76:7,لَهُۥ,kepadanya (do'anya),baginya,to him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,21:91:5,فِيهَا,di dalamnya/ke dalamnya,di dalamnya,into her,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,21:94:11,لَهُۥ,baginya/untuknya,baginya,of it,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,22:12:12,هُوَ,ia/itu,Dia,[it],Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,22:12:8,وَمَا,dan apa/sesuatu,dan apa,and what,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,22:20:2,بِهِۦ,dengannya (air mendidih),dengannya,with it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,22:22:3,أَن,(bahawa),bahawa,to,Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
double_meaning_policy,medium,22:28:11,مَا,apa (rezeki),apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,22:33:9,إِلَى,sampai (sekitar),kepada,(is) at,Defaultkan kepada `kepada`.
double_meaning_policy,medium,22:58:3,فِي,dalam/di,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,22:71:13,بِهِۦ,dengannya/terhadapnya,dengannya,of it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,22:8:9,وَلَا,dan tidak/tanpa,dan tidak,and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
double_meaning_policy,medium,23:24:21,مَّا,tidak/belum,apa,Not,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,23:26:4,بِمَا,dengan apa/kerana,dengan apa,because,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,23:27:14,فِيهَا,di dalamnya (perahu ini),di dalamnya,into it,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,23:37:1,إِنۡ,jika/tidaklah,jika,Not,"Bezakan bentuk syarat dan nafi berdasarkan konteks, tetapi kekalkan gloss stabil apabila ragu."
double_meaning_policy,medium,23:6:5,مَا,apa (hamba),apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,23:71:8,وَمَن,dan orang/apa-apa,dan barang siapa,and whoever,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
double_meaning_policy,medium,23:94:4,فِي,dalam/di antara,dalam,among,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,24:14:10,فِي,di dalam/kerana,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,24:14:13,فِيهِ,padanya/tentang itu,di dalamnya,concerning it,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,24:37:17,فِيهِ,padanya/hari itu,di dalamnya,therein,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,24:41:20,بِمَا,dengan/terhadap/apa,dengan apa,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,24:61:45,مَا,apa (rumah),apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,26:139:7,وَمَا,dan/tetapi tidak,dan apa,but not,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,26:146:3,مَا,apa (disini),apa,what,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,26:23:3,وَمَا,apa/siapa,dan apa,And what,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
double_meaning_policy,medium,26:32:4,هِيَ,ia/tongkat itu,ia,It,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,26:33:4,هِيَ,ia/tangan itu,ia,It,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,26:45:5,هِيَ,ia (tongkat itu),ia,It,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,26:49:3,لَهُۥ,kepadanya/Musa,baginya,in him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,26:7:7,فِيهَا,di dalamnya/di atasnya,di dalamnya,in it,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,26:84:5,فِي,dalam/bagi,dalam,among,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,26:94:2,فِيهَا,ke dalamnya (dalam neraka),di dalamnya,into it,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,26:96:3,فِيهَا,di dalamnya (neraka),di dalamnya,in it,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,27:87:3,فِي,pada/dengan,dalam,[in],Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,27:87:9,وَمَن,dan orang/segala apa,dan barang siapa,and whoever,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
double_meaning_policy,medium,27:88:17,بِمَا,dengan apa/tentang apa,dengan apa,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,28:11:5,بِهِۦ,dengannya (Musa),dengannya,him,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,28:15:9,فِيهَا,di dalamnya (kota),di dalamnya,therein,Kekalkan gloss lokatif sebagai default.
double_meaning_policy,medium,28:24:5,إِلَى,kepada/ke,kepada,to,Defaultkan kepada `kepada`.
double_meaning_policy,medium,28:25:4,عَلَى,atas/dengan,atas,with,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,28:37:12,لَهُۥ,baginya/mendapat,baginya,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,28:39:2,هُوَ,dia (Fir'aun),Dia,And he was arrogant,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,28:45:10,فِيٓ,dalam/bersama,dalam,among,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
double_meaning_policy,medium,28:47:2,أَن,bahawa/ketika,bahawa,[that],Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
double_meaning_policy,medium,28:4:16,إِنَّهُۥ,sesungguhnya dia/Fir'aun,sesungguhnya Dia,"Indeed, he","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
double_meaning_policy,medium,28:60:1,وَمَآ,dan apa (saja),dan apa,And whatever,Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
double_meaning_policy,medium,28:76:12,مَآ,apa (harta),apa,which,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
double_meaning_policy,medium,29:10:28,بِمَا,dengan/terhadap,dengan apa,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,29:14:10,إِلَّا,kecuali (kurang),kecuali,save,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,29:49:2,هُوَ,ia (Al-Qur'an),Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
