rank,token,occurrences,dominant_bm,dominant_count,outlier_bm,outlier_count,recommended_primary_bm,allowed_alternates_bm,flags,score,sample_keys,sample_english,policy_note
1,وَمِنۡهُم,21,dan di antara mereka,18,dan dari/di antara mereka,1,dan di antara mereka,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift,102.71,2:201:1,And from those,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2,يَعۡمَلُونَ,56,mereka kerjakan,47,(mereka) mengerjakan/beramal,1,mereka kerjakan,,outside_policy | slash_gloss | parenthetical | entity_or_pronoun_shift,102.18,18:2:10,do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
3,وَلَمۡ,47,dan tidak,34,dan/padahal kamu tidak,1,dan tidak,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift,98.70,27:84:7,while not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
4,كَانُواْ,209,adalah mereka,150,(jika) mereka adalah,1,adalah mereka,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,98.53,26:40:5,they are,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
5,وَٱللَّهُ,239,dan Allah,235,dan/padahal Allah,1,dan Allah,,outside_policy | slash_gloss | entity_or_pronoun_shift,98.50,37:96:1,While Allah,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
6,مِن,728,dari,711,di antara kami,1,dari,,outside_policy | long_gloss | entity_or_pronoun_shift,98.30,41:47:26,among us,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
7,رَبِّكُمَا,31,Tuhanmu berdua,30,Tuhan kamu berdua,1,Tuhanmu berdua,,outside_policy | long_gloss | entity_or_pronoun_shift,98.03,55:16:3,(of) your Lord,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
8,إِلَيۡهِمۡ,27,kepada mereka,26,kepada/terhadap mereka,1,kepada mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,97.89,9:4:15,to them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
9,أَن,461,bahawa,315,mereka (tidak) dapat,1,bahawa,agar | supaya | untuk,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,97.50,17:46:5,lest,Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
10,ءَامَنُوٓاْ,39,beriman,37,(mereka),1,beriman,,outside_policy | parenthetical | entity_or_pronoun_shift,97.46,22:54:18,believe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
11,تُكَذِّبَانِ,31,kamu berdua dustakan,29,kamu berdua mendustakan,1,kamu berdua dustakan,,outside_policy | long_gloss | entity_or_pronoun_shift,97.06,55:23:4,will you both deny,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
12,عَلَيۡهِمُ,31,atas mereka,29,atas/kepada mereka,1,atas mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,97.06,7:133:2,on them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
13,بِأَنَّهُمۡ,24,kerana sesungguhnya mereka,16,dengan (sebab) mereka,1,kerana sesungguhnya mereka,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,97.00,7:136:6,because they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
14,فَهُمۡ,33,maka mereka,22,maka (tetapi) mereka,1,maka mereka,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,97.00,23:71:13,but they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
15,وَقَالُواْ,49,dan mereka berkata,45,dan mereka mengatakan,1,dan mereka berkata,,outside_policy | long_gloss | entity_or_pronoun_shift,96.55,6:138:1,And they say,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
16,ٱلۡعَزِيزُ,46,Maha Perkasa,42,Al Aziz/yang mulia,1,Maha Perkasa,,outside_policy | slash_gloss | long_gloss,96.39,12:88:6,O Aziz,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
17,تَعۡمَلُونَ,82,kamu kerjakan,74,kamu telah kerjakan,1,kamu kerjakan,,outside_policy | long_gloss | entity_or_pronoun_shift,96.07,77:43:6,do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
18,تَتَّقُونَ,19,kamu bertakwa,17,(kamu) bertakwa,1,kamu bertakwa,,outside_policy | parenthetical | entity_or_pronoun_shift,95.84,2:21:11,become righteous,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
19,عَنۡهُم,16,dari mereka,14,dari/bagi mereka,1,dari mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,95.25,39:50:8,them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
20,وَلَهُمۡ,38,dan bagi mereka,33,dan terhadap mereka,1,dan bagi mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,95.05,26:14:1,And they have,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
21,وَلَهُمۡ,38,dan bagi mereka,33,dan untuk mereka,1,dan bagi mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,95.05,57:18:10,and for them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
22,عَلَيۡهِمۡ,120,atas mereka,102,atas/bagi mereka,1,atas mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,94.50,4:39:2,(is) against them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
23,عَلَيۡهِمۡ,120,atas mereka,102,atas/menimpa mereka,1,atas mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,94.50,9:98:11,Upon them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
24,عَلَيۡهِمۡ,120,atas mereka,102,atas/terhadap mereka,1,atas mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,94.50,4:159:13,against them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
25,عَلَيۡهِمۡ,120,atas mereka,102,atas/untuk mereka,1,atas mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,94.50,90:20:1,Over them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
26,تَوَلَّوۡاْ,19,mereka berpaling,11,(mereka) menjadikan pemimpin,1,mereka berpaling,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,94.37,58:14:5,take as allies,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
27,نَجۡزِي,19,Kami memberi balasan,16,Kami membalas/ganjaran,1,Kami memberi balasan,,outside_policy | slash_gloss | entity_or_pronoun_shift,94.26,6:84:20,We reward,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
28,نَجۡزِي,19,Kami memberi balasan,16,kami memberi pembalasan,1,Kami memberi balasan,,outside_policy | long_gloss | entity_or_pronoun_shift,94.26,12:75:10,(do) we recompense,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
29,يَعۡمَلُونَ,56,mereka kerjakan,47,(mereka) kerjakan,1,mereka kerjakan,,outside_policy | parenthetical | entity_or_pronoun_shift,94.18,5:62:13,doing,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
30,يَعۡمَلُونَ,56,mereka kerjakan,47,(mereka) melakukan,1,mereka kerjakan,,outside_policy | parenthetical | entity_or_pronoun_shift,94.18,4:18:4,do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
31,يَعۡمَلُونَ,56,mereka kerjakan,47,(mereka) mengerjakan,1,mereka kerjakan,,outside_policy | parenthetical | entity_or_pronoun_shift,94.18,29:4:4,do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
32,يَعۡمَلُونَ,56,mereka kerjakan,47,mereka telah kerjakan,1,mereka kerjakan,,outside_policy | long_gloss | entity_or_pronoun_shift,94.18,56:24:4,do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
33,قَالُواْ,171,mereka berkata,139,(Bani Israil) berkata,1,mereka berkata,,outside_policy | parenthetical | long_gloss,93.39,7:138:12,They said,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
34,يَشۡعُرُونَ,21,mereka menyedari,17,mereka merasa/memahami,1,mereka menyedari,,outside_policy | slash_gloss | entity_or_pronoun_shift,93.29,16:21:5,they perceive,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
35,رَبَّنَآ,26,ya Tuhan kami,21,Ya Tuhan kami,1,ya Tuhan kami,,outside_policy | long_gloss | entity_or_pronoun_shift,93.23,20:45:2,Our Lord,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
36,يَتَّقُونَ,15,mereka bertakwa,12,(mereka) bertakwa,1,mereka bertakwa,,outside_policy | parenthetical | entity_or_pronoun_shift,93.00,6:69:4,fear (Allah),Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
37,بِـَٔايَٰتِنَا,38,dengan ayat-ayat Kami,20,dengan ayat/mukjizat Kami,1,dengan ayat-ayat Kami,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift,92.79,28:36:4,with Our Signs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
38,بِـَٔايَٰتِنَا,38,dengan ayat-ayat Kami,20,dengan/kepada ayat-ayat Kami,1,dengan ayat-ayat Kami,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift,92.79,4:56:4,in Our Signs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
39,أَنزَلَ,47,menurunkan,37,(Allah) turunkan,1,menurunkan,,outside_policy | parenthetical | entity_or_pronoun_shift,92.62,4:136:14,He revealed,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
40,لَّهُمۡ,22,bagi mereka,17,bagi/kepada mereka,1,bagi mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,92.18,28:57:11,for them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
41,لَهُم,69,bagi mereka,53,di antara mereka,1,bagi mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,92.04,69:8:3,of them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
42,لَهُم,69,bagi mereka,53,mereka (memperoleh),1,bagi mereka,,outside_policy | parenthetical | entity_or_pronoun_shift,92.04,3:22:9,(will be) for them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
43,وَلَن,21,dan tidak,16,dan kami tidak,1,dan tidak,,outside_policy | long_gloss | entity_or_pronoun_shift,91.86,17:93:11,And never,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
44,وَلَن,21,dan tidak,16,dan kamu tidak akan,1,dan tidak,,outside_policy | long_gloss | entity_or_pronoun_shift,91.86,17:37:10,and will never,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
45,مِّنۡهُمۡ,44,di antara mereka,21,dari (kalangan) mereka,1,di antara mereka,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,91.32,2:129:5,from them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
46,مِّنۡهُمۡ,44,di antara mereka,21,dari mereka (Rasul-Rasul),1,di antara mereka,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,91.32,4:152:9,of them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
47,أَنفُسِهِمۡ,19,diri mereka sendiri,9,(golongan) mereka sendiri,1,diri mereka sendiri,,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,91.21,3:164:11,themselves,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
48,ٱلۡعَٰلَمِينَ,61,semesta alam,45,alam semesta/seru sekalian alam,1,semesta alam,,outside_policy | slash_gloss | long_gloss,91.13,5:28:16,(of) the worlds,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
49,فَمَنِ,15,maka barang siapa,11,maka/tetapi barang siapa,1,maka barang siapa,,outside_policy | slash_gloss | long_gloss,91.00,16:115:13,But (if) one,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
50,وَكَانُواْ,30,dan adalah mereka,22,dan mereka menjadi,1,dan adalah mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,91.00,5:44:21,and they were,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
51,جَعَلۡنَا,28,Kami jadikan,13,Kami telah jadikan/memberikan,1,Kami jadikan,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift,90.93,17:33:13,We have made,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
52,ٱلَّذِينَ,810,orang-orang yang,808,malaikat-malaikat yang,1,orang-orang yang,,outside_policy | entity_or_pronoun_shift,90.93,7:206:2,those who,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
53,أُوْلَـٰٓئِكَ,133,mereka itu,97,mereka/itu,1,mereka itu,,outside_policy | slash_gloss | entity_or_pronoun_shift,90.88,17:36:13,those,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
54,ثُمَّ,337,kemudian,334,kamudian,1,kemudian,,outside_policy | entity_or_pronoun_shift,90.73,63:3:4,then,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
55,وَٱللَّهُ,239,dan Allah,235,Allah,1,dan Allah,,outside_policy | entity_or_pronoun_shift,90.50,5:54:35,And Allah,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
56,وَقَالَ,81,dan berkata,58,dan (Yaqub) berkata,1,dan berkata,,outside_policy | parenthetical | long_gloss,90.48,12:67:1,And he said,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
57,هَـٰٓؤُلَآءِ,38,mereka itu,17,mereka ini (golongan ini),1,mereka itu,mereka ini,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,90.42,17:20:3,(to) these,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
58,وَهُوَ,169,dan Dia,120,dan ia (Al-Quran),1,dan Dia,dan dia,outside_policy | parenthetical | long_gloss,90.30,2:91:16,while it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
