rank,token,occurrences,distinct_bm_glosses,ambiguity_score,category,current_dominant_bm,current_dominant_count,recommended_primary_bm,allowed_alternates_bm,top_english_refs,policy_note
1,قَالَ,407,54,37.055,lexical,berkata,78,berkata,dia berkata | (Musa) berkata | (Allah) berfirman,"He said, he said, said",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2,بِمَا,253,40,30.384,compound-particle,dengan apa,71,dengan apa,terhadap apa | dengan sebab | disebabkan | dengan/terhadap apa,"of what, for what, because",Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
3,فِي,1098,41,27.545,preposition,dalam,380,dalam,di | pada | tentang | di dalam,"in, (is) in, (are) in",Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
4,لَهُۥ,174,35,25.514,prepositional-pronoun,baginya,64,baginya,kepadanya | bagi-Nya | kepada-Nya,"for him, to him, to Him",Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
5,بِهِۦ,220,44,24.379,prepositional-pronoun,dengannya,122,dengannya,padanya | kepadanya | dengan-Nya,"with it, in it, of it",Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
6,مَن,223,23,24.070,relative-pronoun,orang,69,siapa,orang | barang siapa | orang yang,"whom, who, Whoever",Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
7,وَمَا,507,33,23.184,function-word,dan tidak,231,dan apa,dan tidak | dan apa yang | dan tidak ada | dan tidaklah,"And not, and not, and what",Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
8,مَا,707,50,22.797,function-word,apa,419,apa,apa yang | tidak | tidak ada,"what, Not, not",Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
9,وَمَآ,131,21,22.010,function-word,dan tidak,36,dan apa,dan tidak | dan apa yang | dan tidaklah,"And not, and what, and not",Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
10,هِيَ,45,26,21.728,pronoun,ia,15,ia,dia | itulah,"it, it (is), which",Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
11,مِمَّا,51,22,21.352,lexical,dari apa,16,dari apa,,"of what, from what, out of what",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
12,ذَٰلِكَ,264,21,21.048,pronoun-or-clitic,demikian itu,131,demikian itu,demikian | demikian/itu,"that, That, That (is)",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
